# id1,id2,Angular Step Depth,Metric Step Depth,Topological Step Depth
1,1,0,0,0
1,2,1.9882812,0.6835227,2
1,3,1.984375,0.92142171,2
1,4,2.0195312,0.61402488,2
1,5,3.9882812,0.88129902,4
1,6,3.984375,1.1000388,4
1,7,1.9804688,1.2232107,2
1,8,1.984375,1.5479356,2
1,9,3.9765625,1.9268056,4
1,10,3.9765625,2.2622061,4
1,11,3.9765625,2.4530973,4
1,12,3.9804688,2.8392105,4
1,13,3.984375,2.8846853,4
1,14,6.7109375,3.4205937,7
1,15,6.2695312,3.4610641,7
1,16,6.2695312,3.763206,7
1,17,6.2539062,4.0233402,7
1,18,6.265625,4.1975727,7
1,19,6.3789062,4.0933394,7
1,20,6.375,3.7911668,7
1,21,6.3710938,3.5562963,7
2,1,1.9882812,0.6835227,2
2,2,0,0,0
2,3,1.9960938,0.65840584,2
2,4,2.0078125,0.87072825,2
2,5,4,1.1380024,4
2,6,3.9960938,1.2068369,4
2,7,1.9921875,0.96019489,2
2,8,1.9960938,1.2849199,2
2,9,3.9882812,1.6637897,4
2,10,3.9882812,1.9991903,4
2,11,3.9882812,2.1900814,4
2,12,3.9921875,2.5761945,4
2,13,3.9960938,2.6216693,4
2,14,6.7226562,3.157578,7
2,15,6.28125,3.1980481,7
2,16,6.28125,3.5001903,7
2,17,6.265625,3.7603245,7
2,18,6.2773438,3.934557,7
2,19,6.390625,3.8303237,7
2,20,6.3867188,3.528151,7
2,21,6.3828125,3.2932806,7
3,1,1.984375,0.92142171,2
3,2,1.9960938,0.65840584,2
3,3,0,0,0
3,4,2.0039062,1.1086273,2
3,5,3.9960938,1.1835243,4
3,6,4,0.96684611,4
3,7,1.9960938,0.72020411,2
3,8,2,1.044929,2
3,9,3.9921875,1.423799,4
3,10,3.9921875,1.7591996,4
3,11,3.9921875,1.9500906,4
3,12,3.9960938,2.3362038,4
3,13,4,2.3816786,4
3,14,6.7265625,2.9175873,7
3,15,6.2851562,2.9580574,7
3,16,6.2851562,3.2601995,7
3,17,6.2695312,3.5203335,7
3,18,6.28125,3.6945662,7
3,19,6.3945312,3.590333,7
3,20,6.390625,3.2881603,7
3,21,6.3867188,3.0532899,7
4,1,2.0195312,0.61402488,2
4,2,2.0078125,0.87072825,2
4,3,2.0039062,1.1086273,2
4,4,0,0,0
4,5,2,0.63500673,2
4,6,2.0039062,0.85374653,2
4,7,2,1.0858595,2
4,8,2.0039062,1.4099931,2
4,9,2.0039062,1.7888629,2
4,10,2.0039062,2.1242635,2
4,11,2.0039062,2.3151546,2
4,12,2.0078125,2.7012677,2
4,13,2.0117188,2.7467425,2
4,14,4.7382812,3.2826512,5
4,15,4.296875,3.3231213,5
4,16,4.296875,3.6252635,5
4,17,4.28125,3.8853977,5
4,18,4.2929688,4.0596304,5
4,19,4.40625,3.9553969,5
4,20,4.4023438,3.6532242,5
4,21,4.3984375,3.4183538,5
5,1,4.0117188,0.88129902,4
5,2,4,1.1380024,4
5,3,3.9960938,1.1835243,4
5,4,2,0.63500673,2
5,5,0,0,0
5,6,2.0039062,0.58853298,2
5,7,2,0.82064599,2
5,8,2.0039062,1.1447794,2
5,9,2.0039062,1.5236495,2
5,10,2.0039062,1.85905,2
5,11,2.0039062,2.0499411,2
5,12,2.0078125,2.4360542,2
5,13,2.0117188,2.481529,2
5,14,4.7382812,3.0174377,5
5,15,4.296875,3.0579078,5
5,16,4.296875,3.36005,5
5,17,4.28125,3.6201839,5
5,18,4.2929688,3.7944167,5
5,19,4.40625,3.6901834,5
5,20,4.4023438,3.3880107,5
5,21,4.3984375,3.1531403,5
6,1,3.984375,1.1000388,4
6,2,3.9960938,1.2068369,4
6,3,4,0.96684611,4
6,4,2.0039062,0.85374653,2
6,5,2.0039062,0.58853298,2
6,6,0,0,0
6,7,1.9960938,0.60396785,2
6,8,2,0.92810136,2
6,9,2,1.3069713,2
6,10,2,1.6423719,2
6,11,2,1.8332629,2
6,12,2.0039062,2.2193761,2
6,13,2.0078125,2.2648509,2
6,14,4.734375,2.8007596,5
6,15,4.2929688,2.8412297,5
6,16,4.2929688,3.1433718,5
6,17,4.2773438,3.4035058,5
6,18,4.2890625,3.5777385,5
6,19,4.4023438,3.4735053,5
6,20,4.3984375,3.1713326,5
6,21,4.3945312,2.9364622,5
7,1,1.9804688,1.2232107,2
7,2,1.9921875,0.96019489,2
7,3,1.9960938,0.72020411,2
7,4,2,1.0858595,2
7,5,2,0.82064599,2
7,6,1.9960938,0.60396785,2
7,7,0,0,0
7,8,2.0039062,0.68145931,2
7,9,2.0039062,1.0603293,2
7,10,2.0039062,1.3957299,2
7,11,2.0039062,1.5866209,2
7,12,2.0078125,1.9727341,2
7,13,2.0117188,2.0182087,2
7,14,4.7382812,2.5541174,5
7,15,4.296875,2.5945878,5
7,16,4.296875,2.8967297,5
7,17,4.28125,3.1568639,5
7,18,4.2929688,3.3310964,5
7,19,4.40625,3.2268634,5
7,20,4.4023438,2.9246905,5
7,21,4.3984375,2.6898201,5
8,1,1.984375,1.5473442,2
8,2,1.9960938,1.2843285,2
8,3,2,1.0443376,2
8,4,2.0039062,1.4099931,2
8,5,2.0039062,1.1447794,2
8,6,2,0.92810136,2
8,7,2.0039062,0.68145931,2
8,8,0,0,0
8,9,2,0.74303579,2
8,10,2,1.0784364,2
8,11,2,1.2693274,2
8,12,2.0039062,1.6554406,2
8,13,2.0078125,1.7009153,2
8,14,4.734375,2.236824,5
8,15,4.2929688,2.2772942,5
8,16,4.2929688,2.5794363,5
8,17,4.2773438,2.8395703,5
8,18,4.2890625,3.013803,5
8,19,4.4023438,2.9095697,5
8,20,4.3984375,2.6073971,5
8,21,4.3945312,2.3725266,5
9,1,3.9765625,1.9262142,4
9,2,3.9882812,1.6631984,4
9,3,3.9921875,1.4232075,4
9,4,2.0039062,1.7888629,2
9,5,2.0039062,1.5236495,2
9,6,2,1.3069713,2
9,7,2.0039062,1.0603293,2
9,8,2,0.74303579,2
9,9,0,0,0
9,10,2,0.70718539,2
9,11,2,0.89807642,2
9,12,2.0039062,1.2841896,2
9,13,2.0078125,1.3296643,2
9,14,4.734375,1.865573,5
9,15,4.2929688,1.9060432,5
9,16,4.2929688,2.2081852,5
9,17,4.2773438,2.4683194,5
9,18,4.2890625,2.6425519,5
9,19,4.4023438,2.5383189,5
9,20,4.3984375,2.236146,5
9,21,4.3945312,2.0012755,5
10,1,3.9765625,2.2616148,4
10,2,3.9882812,1.9985989,4
10,3,3.9921875,1.7586082,4
10,4,2.0039062,2.1242635,2
10,5,2.0039062,1.85905,2
10,6,2,1.6423719,2
10,7,2.0039062,1.3957299,2
10,8,2,1.0784364,2
10,9,2,0.70718539,2
10,10,0,0,0
10,11,2,0.55837232,2
10,12,2.0039062,0.94448549,2
10,13,2.0078125,0.98996025,2
10,14,4.328125,1.8750286,5
10,15,3.8867188,1.9154987,5
10,16,3.8867188,2.2176409,5
10,17,3.8710938,2.4777749,5
10,18,3.8828125,2.6520076,5
10,19,3.9960938,2.5477743,5
10,20,3.9921875,2.2456017,5
10,21,3.9882812,2.0107312,5
11,1,3.9765625,2.4525058,4
11,2,3.9882812,2.1894901,4
11,3,3.9921875,1.9494992,4
11,4,2.0039062,2.3151546,2
11,5,2.0039062,2.0499411,2
11,6,2,1.8332629,2
11,7,2.0039062,1.5866209,2
11,8,2,1.2693274,2
11,9,2,0.89807642,2
11,10,2,0.55837232,2
11,11,0,0,0
11,12,2.0039062,0.76204008,2
11,13,2.0078125,0.80751485,2
11,14,4.328125,2.0659196,5
11,15,3.8867188,2.1063898,5
11,16,3.8867188,2.4085319,5
11,17,3.8710938,2.6686659,5
11,18,3.8828125,2.8428986,5
11,19,3.9960938,2.7386653,5
11,20,3.9921875,2.4364927,5
11,21,3.9882812,2.2016222,5
12,1,3.9804688,2.838619,4
12,2,3.9921875,2.5756032,4
12,3,3.9960938,2.3356123,4
12,4,2.0078125,2.7012677,2
12,5,2.0078125,2.4360542,2
12,6,2.0039062,2.2193761,2
12,7,2.0078125,1.9727341,2
12,8,2.0039062,1.6554406,2
12,9,2.0039062,1.2841896,2
12,10,2.0039062,0.94448549,2
12,11,2.0039062,0.76204008,2
12,12,0,0,0
12,13,2.0039062,0.42066237,2
12,14,4.3320312,2.4520328,5
12,15,3.890625,2.4925029,5
12,16,3.890625,2.7946451,5
12,17,3.875,3.0547791,5
12,18,3.8867188,3.2290118,5
12,19,4,3.1247785,5
12,20,3.9960938,2.8226058,5
12,21,3.9921875,2.5877354,5
13,1,3.984375,2.8840938,4
13,2,3.9960938,2.621078,4
13,3,4,2.3810871,4
13,4,2.0117188,2.7467425,2
13,5,2.0117188,2.481529,2
13,6,2.0078125,2.2648509,2
13,7,2.0117188,2.0182087,2
13,8,2.0078125,1.7009153,2
13,9,2.0078125,1.3296643,2
13,10,2.0078125,0.98996025,2
13,11,2.0078125,0.80751485,2
13,12,2.0039062,0.42066237,2
13,13,0,0,0
13,14,4.3359375,2.4975076,5
13,15,3.8945312,2.5379777,5
13,16,3.8945312,2.8401198,5
13,17,3.8789062,3.1002538,5
13,18,3.890625,3.2744865,5
13,19,4.0039062,3.1702533,5
13,20,4,2.8680806,5
13,21,3.9960938,2.6332102,5
14,1,6.7109375,3.4200025,7
14,2,6.7226562,3.1569865,7
14,3,6.7265625,2.9169958,7
14,4,4.7382812,3.2826512,5
14,5,4.7382812,3.0174377,5
14,6,4.734375,2.8007596,5
14,7,4.7382812,2.5541174,5
14,8,4.734375,2.236824,5
14,9,4.734375,1.865573,5
14,10,4.328125,1.8750286,5
14,11,4.328125,2.0659196,5
14,12,4.3320312,2.4520328,5
14,13,4.3359375,2.4975076,5
14,14,0,0,0
14,15,1.9960938,0.69455987,2
14,16,2,0.99670196,2
14,17,1.984375,1.2568361,2
14,18,1.9921875,1.4310687,2
14,19,1.9882812,1.5379674,2
14,20,1.984375,1.2357948,2
14,21,1.9804688,1.0009243,2
15,1,6.2695312,3.4604726,7
15,2,6.28125,3.1974568,7
15,3,6.2851562,2.9574661,7
15,4,4.296875,3.3231213,5
15,5,4.296875,3.0579078,5
15,6,4.2929688,2.8412297,5
15,7,4.296875,2.5945878,5
15,8,4.2929688,2.2772942,5
15,9,4.2929688,1.9060432,5
15,10,3.8867188,1.9154987,5
15,11,3.8867188,2.1063898,5
15,12,3.890625,2.4925029,5
15,13,3.8945312,2.5379777,5
15,14,2,0.69455987,2
15,15,0,0,0
15,16,2,0.6953423,2
15,17,1.984375,0.95547646,2
15,18,1.9960938,1.129709,2
15,19,1.9921875,1.2647935,2
15,20,1.9882812,0.96262074,2
15,21,1.984375,0.7277503,2
16,1,6.2695312,3.7626147,7
16,2,6.28125,3.4995987,7
16,3,6.2851562,3.259608,7
16,4,4.296875,3.6252635,5
16,5,4.296875,3.36005,5
16,6,4.2929688,3.1433718,5
16,7,4.296875,2.8967297,5
16,8,4.2929688,2.5794363,5
16,9,4.2929688,2.2081852,5
16,10,3.8867188,2.2176409,5
16,11,3.8867188,2.4085319,5
16,12,3.890625,2.7946451,5
16,13,3.8945312,2.8401198,5
16,14,2,0.99670196,2
16,15,2,0.6953423,2
16,16,0,0,0
16,17,1.984375,0.63427019,2
16,18,1.9960938,0.80850279,2
16,19,2.109375,1.0122446,2
16,20,3.8789062,1.2647629,4
16,21,3.875,1.0298924,4
17,1,6.2539062,4.0227489,7
17,2,6.265625,3.759733,7
17,3,6.2695312,3.5197423,7
17,4,4.28125,3.8853977,5
17,5,4.28125,3.6201839,5
17,6,4.2773438,3.4035058,5
17,7,4.28125,3.1568639,5
17,8,4.2773438,2.8395703,5
17,9,4.2773438,2.4683194,5
17,10,3.8710938,2.4777749,5
17,11,3.8710938,2.6686659,5
17,12,3.875,3.0547791,5
17,13,3.8789062,3.1002538,5
17,14,1.984375,1.2568361,2
17,15,1.984375,0.95547646,2
17,16,1.984375,0.63427019,2
17,17,0,0,0
17,18,2.0117188,0.51585263,2
17,19,2.125,0.71959442,2
17,20,3.8632812,1.0231228,4
17,21,3.859375,1.2590674,4
18,1,6.265625,4.1969814,7
18,2,6.2773438,3.9339657,7
18,3,6.28125,3.6939747,7
18,4,4.2929688,4.0596304,5
18,5,4.2929688,3.7944167,5
18,6,4.2890625,3.5777385,5
18,7,4.2929688,3.3310964,5
18,8,4.2890625,3.013803,5
18,9,4.2890625,2.6425519,5
18,10,3.8828125,2.6520076,5
18,11,3.8828125,2.8428986,5
18,12,3.8867188,3.2290118,5
18,13,3.890625,3.2744865,5
18,14,1.9960938,1.4310687,2
18,15,1.9960938,1.129709,2
18,16,1.9960938,0.80850279,2
18,17,2.0117188,0.51585263,2
18,18,0,0,0
18,19,1.8867188,0.62282979,2
18,20,2.0078125,0.9263581,2
18,21,2.0117188,1.1623029,2
19,1,6.3789062,4.0927482,7
19,2,6.390625,3.8297324,7
19,3,6.3945312,3.5897415,7
19,4,4.40625,3.9553969,5
19,5,4.40625,3.6901834,5
19,6,4.4023438,3.4735053,5
19,7,4.40625,3.2268634,5
19,8,4.4023438,2.9095697,5
19,9,4.4023438,2.5383189,5
19,10,3.9960938,2.5477743,5
19,11,3.9960938,2.7386653,5
19,12,4,3.1247785,5
19,13,4.0039062,3.1702533,5
19,14,1.9882812,1.5379674,2
19,15,1.9921875,1.2647935,2
19,16,2.109375,1.0122446,2
19,17,2.125,0.71959442,2
19,18,1.8867188,0.62282979,2
19,19,0,0,0
19,20,2.0039062,0.71377599,2
19,21,2.0078125,0.94972074,2
20,1,6.375,3.7905755,7
20,2,6.3867188,3.5275598,7
20,3,6.390625,3.2875688,7
20,4,4.4023438,3.6532242,5
20,5,4.4023438,3.3880107,5
20,6,4.3984375,3.1713326,5
20,7,4.4023438,2.9246905,5
20,8,4.3984375,2.6073971,5
20,9,4.3984375,2.236146,5
20,10,3.9921875,2.2456017,5
20,11,3.9921875,2.4364927,5
20,12,3.9960938,2.8226058,5
20,13,4,2.8680806,5
20,14,1.984375,1.2357948,2
20,15,1.9882812,0.96262074,2
20,16,3.875,1.2647629,4
20,17,3.859375,1.0231228,4
20,18,2.0078125,0.9263581,2
20,19,2.0039062,0.71377599,2
20,20,0,0,0
20,21,2.0039062,0.64754802,2
21,1,6.3710938,3.5557051,7
21,2,6.3828125,3.2926893,7
21,3,6.3867188,3.0526984,7
21,4,4.3984375,3.4183538,5
21,5,4.3984375,3.1531403,5
21,6,4.3945312,2.9364622,5
21,7,4.3984375,2.6898201,5
21,8,4.3945312,2.3725266,5
21,9,4.3945312,2.0012755,5
21,10,3.9882812,2.0107312,5
21,11,3.9882812,2.2016222,5
21,12,3.9921875,2.5877354,5
21,13,3.9960938,2.6332102,5
21,14,1.9804688,1.0009243,2
21,15,1.984375,0.7277503,2
21,16,3.8710938,1.0298924,4
21,17,3.8554688,1.2590674,4
21,18,2.0117188,1.1623029,2
21,19,2.0078125,0.94972074,2
21,20,2.0039062,0.64754802,2
21,21,0,0,0