,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,0,1,0.6,0,0,0.8,0.6,0.6,0.4,1,0,0,0,0,0,0.6,0
2,0.8,0,0.8,1,0.6,0.8,1,0.6,0.6,0,1,1,1,0.6,0.8,1,1,0.6
3,0.428571429,0.428571429,0,0.714285714,0.428571429,0.571428571,0.428571429,0,0.571428571,0,0.428571429,0.428571429,0.571428571,0.428571429,0.428571429,0.428571429,1,0.428571429
4,0,0.571428571,1,0,0,0.285714286,0.285714286,0.571428571,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0.428571429,0.714285714,1,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0.333333333,0.333333333,0.333333333,0.333333333,1,0.5,0.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.5,0.666666667,0.666666667
10,1,0,0,0,0,0,1,0,0.666666667,0,0.333333333,1,0.666666667,0,0,0,0,0
11,1,0.5,0.5,0.5,0,1,0,0.5,0.5,0,0,0.5,0.75,0.5,0.75,0.75,0.75,0
12,0,0,0,0.4,0,0,1,0,0.4,0,0,0,1,0,0,0.4,0.6,0
13,0,0,0.4,0,0,0.4,1,0.4,0.4,0,0.4,0.8,0,0,0.4,0.4,0.4,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0.6,0.8,0.6,0,0.6,0.6,0.8,0.6,0,0.4,0.8,0.6,1,1,0,1,0.8,0.6
16,0.75,0.5,0.5,0.5,0,0.75,0.5,0.5,0.75,0.5,1,0.5,1,0.5,0.75,0,1,0.75
17,0.714285714,0.857142857,0.857142857,0.142857143,0.857142857,0.857142857,1,0.857142857,1,0.571428571,0.857142857,1,1,0.285714286,0,1,0,0.571428571
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0